sample size,time limit,particles number,cognitive param,social param,weight,allocation number,fitness score
60,120,25,0.0001,0.0001,10,88,0.3378317227822537
60,120,25,0.0001,0.0001,10,89,0.7484474828017957
60,120,25,0.0001,0.0001,10,90,0.5536439901448716
60,120,25,0.0001,0.0001,10,91,0.5318615176981466
60,120,25,0.0001,0.0001,10,92,1.0706859941835452
60,120,25,0.0001,0.0001,10,93,0.4701195357063859
60,120,25,0.0001,0.0001,10,94,0.9657468181304028
60,120,25,0.0001,0.0001,10,95,0.2822236618292434
60,120,25,0.0001,0.0001,10,96,1.0663546782986724
60,120,25,0.0001,0.0001,10,97,0.4156978081187715
60,120,25,0.0001,0.0001,10,98,0.2279920137582376
60,120,25,0.0001,0.0001,10,99,0.5684661108995898
60,120,25,0.0001,0.0001,100,0,0.2043205895448469
60,120,25,0.0001,0.0001,100,1,0.35846144275642605
60,120,25,0.0001,0.0001,100,2,0.6181144843413887
60,120,25,0.0001,0.0001,100,3,0.30480548816635183
60,120,25,0.0001,0.0001,100,4,0.6046254264247727
60,120,25,0.0001,0.0001,100,5,0.5736790110592608
60,120,25,0.0001,0.0001,100,6,0.5711638431347158
60,120,25,0.0001,0.0001,100,7,0.5502819091599692
60,120,25,0.0001,0.0001,100,8,0.7986732635277725
60,120,25,0.0001,0.0001,100,9,0.3082937611255211
60,120,25,0.0001,0.0001,100,10,0.32953578563089925
60,120,25,0.0001,0.0001,100,11,0.6461238656294822
60,120,25,0.0001,0.0001,100,12,0.4959378095487041
60,120,25,0.0001,0.0001,100,13,0.2503593950244167
60,120,25,0.0001,0.0001,100,14,0.2973411351149683
60,120,25,0.0001,0.0001,100,15,0.4806995470848038
60,120,25,0.0001,0.0001,100,16,0.3975655716448754
60,120,25,0.0001,0.0001,100,17,0.7789816130322321
60,120,25,0.0001,0.0001,100,18,0.5451983026502799
60,120,25,0.0001,0.0001,100,19,0.3548250419410434
60,120,25,0.0001,0.0001,100,20,0.4821600366568736
60,120,25,0.0001,0.0001,100,21,0.4961938818323884
60,120,25,0.0001,0.0001,100,22,0.4329239029955319
60,120,25,0.0001,0.0001,100,23,0.4513551047739372
60,120,25,0.0001,0.0001,100,24,0.48401227328445684
60,120,25,0.0001,0.0001,100,25,0.41747035003589633
60,120,25,0.0001,0.0001,100,26,0.7077368972637187
60,120,25,0.0001,0.0001,100,27,1.0172888196552339
60,120,25,0.0001,0.0001,100,28,0.5401601359877805
60,120,25,0.0001,0.0001,100,29,0.41796697106434383
60,120,25,0.0001,0.0001,100,30,0.48819188413045705
60,120,25,0.0001,0.0001,100,31,0.6339054858413383
60,120,25,0.0001,0.0001,100,32,0.3533485348848451
60,120,25,0.0001,0.0001,100,33,0.6665491363829754
60,120,25,0.0001,0.0001,100,34,0.4443613490809437
60,120,25,0.0001,0.0001,100,35,0.3012270217728248
60,120,25,0.0001,0.0001,100,36,0.5504443168407505
60,120,25,0.0001,0.0001,100,37,0.5624673852161672
60,120,25,0.0001,0.0001,100,38,0.6442525454411904
60,120,25,0.0001,0.0001,100,39,0.46072556518727487
60,120,25,0.0001,0.0001,100,40,0.2901913834420477
60,120,25,0.0001,0.0001,100,41,0.2996844700985198
60,120,25,0.0001,0.0001,100,42,0.6606736052746911
60,120,25,0.0001,0.0001,100,43,0.48010764526270727
60,120,25,0.0001,0.0001,100,44,0.5722269188232084
60,120,25,0.0001,0.0001,100,45,0.7800577708064517
