"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"logPropLeitosSUS"	"Percent_SUS_Total"	"Porte_MEDIO"	"Porte_PEQUENO"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"	"Total_Leitos"
0	0	1.99563519459755	0	0	0	0	0	1	7.7983223574095
1	0	1.99563519459755	0	0	0	0	0	1	6.51572697050819
1	0	1.99563519459755	0	1	0	0	0	1	6.20656596692765
1	0	1.99563519459755	0	1	0	0	0	1	5.98610458096405
1	0	1.99563519459755	0	1	0	0	0	1	5.49918987548339
1	0	0.274823307324396	-0.274604584810375	1	0	0	0	1	5.78436529997656
0	0	1.99563519459755	0	1	0	0	0	1	5.00869041066651
1	0	1.25547185992981	-0.0423473619942024	1	0	0	0	1	5.27161296707144
1	0	1.99563519459755	0	0	1	0	0	0	3.9038917031591
1	0	-0.294531702627064	-0.414002951426251	0	1	0	1	0	3.9038917031591
1	0	0.0717605328335044	-0.336384335827194	1	0	0	1	0	5.95652723319824
1	0	1.99563519459755	0	1	0	0	0	1	5.29360270645222
1	0	1.99563519459755	0	0	1	0	0	0	3.35141362540314
1	0	0.775393815838455	-0.125310950406997	0	1	0	1	0	4.59974490623364
1	0	1.08899801758987	-0.0640120137915762	0	1	0	1	0	4.05115826483647
0	0	0.341888682668836	-0.252937478107848	1	0	0	0	1	6.18044684762751
1	0	1.99563519459755	0	0	1	0	0	1	4.69636013359931
1	0	0.578953772050618	-0.178397416911724	0	0	0	0	1	7.16466364261795
1	0	0.172475130903941	-0.306801380672238	1	0	0	0	1	6.07199482992353
1	0	1.99563519459755	0	0	1	0	0	0	3.19507910772895
1	0	-0.869889409632394	-0.450929326515279	0	1	0	0	1	4.30969081105257
1	0	0.524762889154889	-0.19472708345457	0	1	0	1	0	4.75773161594553
1	0	0.762939381681017	-0.128352999133154	0	1	0	1	0	4.78757636628315
1	0	1.99563519459755	0	0	1	0	0	1	3.42379650962106
1	0	1.17259792063038	-0.0523073367525777	0	1	0	1	0	4.34895165675361
1	0	0.359735656001808	-0.24715297345615	0	1	0	0	1	4.78757636628315
0	0	0.919530747915543	-0.093525288056825	0	0	0	0	1	6.72243863913776
0	0	1.69682598410192	-0.00984221123680511	0	0	0	0	1	7.00337515252951
1	0	1.99563519459755	0	0	1	0	0	0	3.42379650962106
1	0	1.99563519459755	0	1	0	0	0	1	6.29511362483083
1	0	0.668811491746245	-0.152811379951338	0	0	0	1	0	6.53747280728239
1	0	1.99563519459755	0	0	1	0	0	0	2.14814044039067
0	0	1.12242247736912	-0.0591213017859753	0	0	0	0	1	7.54882232396609
0	0	0.172921694953646	-0.306664718654014	0	0	0	0	1	9.49518311199431
1	0	1.37672627290796	-0.0303551072025623	1	0	0	0	0	5.80073077972058
1	0	-1.31386722036915	-0.45422291940518	1	0	0	1	0	4.90182215342448
1	0	0.382318873560998	-0.239841649512924	1	0	0	1	0	5.68282336140202
1	0	0.388860350820119	-0.237727301449798	0	1	0	0	1	4.53198460282269
1	0	1.99563519459755	0	0	1	0	0	0	4.05115826483647
0	0	1.99563519459755	0	0	0	0	0	1	7.43130798986194
1	0	0.286614273958761	-0.27081283756519	1	0	0	1	0	5.49918987548339
1	0	0.202191976267324	-0.297621818948581	1	0	0	1	0	6.14054238462066
1	0	0	-0.355619254170895	0	1	0	0	1	3.02005454317468
1	0	1.99563519459755	0	0	1	0	0	1	2.92392220780832
1	0	1.99563519459755	0	1	0	0	1	0	5.94155150045017
1	0	1.61471682888977	-0.0138687585727143	1	0	0	1	0	6.42606752253045
1	0	-0.137520544695914	-0.387174242986811	0	0	0	0	1	6.81774865198974
0	0	0.339431805004324	-0.253733826488177	0	0	0	0	1	7.11769859409708
1	0	1.39370811665453	-0.0288937573229243	1	0	0	0	1	5.8803480696499
0	0	0.228498175402837	-0.289367042774237	1	0	0	1	0	6.4029481190582
0	0	1.99563519459755	0	0	1	0	0	1	4.34895165675361
0	0	0.628247764932247	-0.16411033314857	0	0	0	0	1	8.11249838109196
0	0	0.474275161506838	-0.210427731438524	0	0	0	0	1	7.83151881253048
1	0	0.338386809344244	-0.254072528139238	0	0	0	1	0	7.56773627087988
1	0	1.99563519459755	0	0	1	0	0	1	3.2753167488852
1	0	1.99563519459755	0	0	1	0	1	0	2.70981615210141
0	0	-0.304047631684454	-0.415322288085935	1	0	0	1	0	5.22675921848788
1	0	1.27424101919579	-0.0403006399153926	0	0	0	0	1	7.31336706048786
0	0	1.99563519459755	0	1	0	0	0	1	6.34383205077422
1	0	0.910574935593285	-0.0953167464306263	1	0	0	0	1	6.36770950823232
1	0	0.328409833805136	-0.257305555234249	0	1	0	0	1	3.42379650962106
1	0	1.99563519459755	0	0	1	0	0	1	1.16123174033905
1	0	0.0741988455286848	-0.335701222523334	0	1	0	1	0	4.66478780211682
1	0	0.217222399802567	-0.29291866095294	0	1	0	1	0	4.7273335753469
1	0	0.485851085978558	-0.206792235549112	1	0	0	1	0	6.02956741227562
1	0	0.203301166975239	-0.297276033804745	1	0	0	0	1	5.51845573915362
1	0	0.597110253760474	-0.173067756047813	0	0	0	1	0	7.26262300736933
1	0	0.203301166975239	-0.297276033804745	1	0	0	0	1	5.51845573915362
1	0	0.669172637169071	-0.152712750603986	1	0	0	1	0	5.94155150045017
1	0	0.377192272400697	-0.241499964021554	0	0	0	1	0	6.51572697050819
1	0	0.359735656001808	-0.24715297345615	0	1	0	1	0	4.46125549591926
1	0	0.678448337191417	-0.150191760100181	0	1	0	1	0	4.30969081105257
1	0	0.294531702627064	-0.268261027983489	0	1	0	1	0	3.1101942303975
1	0	0.816053605190084	-0.115705171518869	0	1	0	0	1	4.7273335753469
1	0	0.717678464477288	-0.139795372888452	0	1	0	0	1	3.85151685421243
0	0	0.87733855393655	-0.102176489018784	0	0	0	0	1	8.04463528246636
1	0	0.451836468975144	-0.217526528890372	0	0	0	0	1	7.31336706048786
1	0	0.779105744134674	-0.124413298215153	0	0	0	0	1	6.71263360478832
1	0	0.04580678339109	-0.343539517195163	0	0	0	1	0	6.86363891200601
1	0	1.99563519459755	0	0	1	0	0	1	4.14213562373096
1	0	-0.0139555808144303	-0.359152029416709	1	0	0	0	1	5.08457169466384
1	0	0.869889409632394	-0.10375984418005	0	1	0	1	0	4.63259159663225
